bank_hex,group_id,releases
0B,6,JP-REVA
0B,7,KR-REV0
0B,8,US-EU-REV0
0C,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
0D,1,JP-REV0;JP-REVA
0D,2,DE-REV0
0D,3,ES-REV0
0D,4,FR-REV0
0D,5,IT-REV0
0D,6,KR-REV0
0D,7,US-EU-REV0
0E,1,JP-REV0;JP-REVA
0E,2,DE-REV0
0E,3,ES-REV0
0E,4,FR-REV0
0E,5,IT-REV0
0E,6,KR-REV0
0E,7,US-EU-REV0
0F,1,DE-REV0
0F,2,ES-REV0
0F,3,FR-REV0
0F,4,IT-REV0
0F,5,JP-REV0
0F,6,JP-REVA
0F,7,KR-REV0
0F,8,US-EU-REV0
10,1,JP-REV0;JP-REVA
10,2,DE-REV0
10,3,ES-REV0
10,4,FR-REV0
10,5,IT-REV0
10,6,KR-REV0
10,7,US-EU-REV0
11,1,JP-REV0;JP-REVA
11,2,DE-REV0
11,3,ES-REV0
11,4,FR-REV0
11,5,IT-REV0
11,6,KR-REV0
11,7,US-EU-REV0
12,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
12,2,JP-REV0;JP-REVA;KR-REV0
13,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
13,2,JP-REV0;JP-REVA
14,1,DE-REV0
14,2,ES-REV0
14,3,FR-REV0
14,4,IT-REV0
14,5,JP-REV0
14,6,JP-REVA
14,7,KR-REV0
14,8,US-EU-REV0
15,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
15,2,JP-REV0;JP-REVA;KR-REV0
16,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
16,2,JP-REV0;JP-REVA;KR-REV0
17,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
17,2,JP-REV0;JP-REVA;KR-REV0
18,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
18,2,JP-REV0;JP-REVA;KR-REV0
19,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
19,2,JP-REV0;JP-REVA;KR-REV0
1A,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1A,2,JP-REV0;JP-REVA;KR-REV0
1B,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1B,2,JP-REV0;JP-REVA;KR-REV0
1C,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1C,2,JP-REV0;JP-REVA;KR-REV0
1D,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1D,2,JP-REV0;JP-REVA;KR-REV0
1E,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1E,2,JP-REV0;JP-REVA;KR-REV0
1F,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
1F,2,JP-REV0;JP-REVA;KR-REV0
20,1,US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
20,2,JP-REV0;JP-REVA;KR-REV0
21,1,DE-REV0
21,2,ES-REV0
21,3,FR-REV0
21,4,IT-REV0
21,5,JP-REV0
21,6,JP-REVA
21,7,KR-REV0
21,8,US-EU-REV0
22,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
22,2,JP-REV0;JP-REVA
23,1,DE-REV0
23,2,ES-REV0
23,3,FR-REV0
23,4,IT-REV0
23,5,JP-REV0
23,6,JP-REVA
23,7,KR-REV0
23,8,US-EU-REV0
24,1,DE-REV0
24,2,ES-REV0
24,3,FR-REV0
24,4,IT-REV0
24,5,JP-REV0
24,6,JP-REVA
24,7,KR-REV0
24,8,US-EU-REV0
25,1,DE-REV0
25,2,ES-REV0
25,3,FR-REV0
25,4,IT-REV0
25,5,JP-REV0
25,6,JP-REVA
25,7,KR-REV0
25,8,US-EU-REV0
26,1,JP-REV0;JP-REVA
26,2,DE-REV0
26,3,ES-REV0
26,4,FR-REV0
26,5,IT-REV0
26,6,KR-REV0
26,7,US-EU-REV0
27,1,JP-REV0;JP-REVA
27,2,KR-REV0;US-EU-REV0
27,3,DE-REV0
27,4,ES-REV0
27,5,FR-REV0
27,6,IT-REV0
28,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
28,2,JP-REV0;JP-REVA
29,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
29,2,JP-REV0;JP-REVA
2A,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
2B,1,JP-REV0;JP-REVA;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
2B,2,KR-REV0
2C,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
2C,2,JP-REV0;JP-REVA
2D,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
2D,2,JP-REV0;JP-REVA
2E,1,JP-REV0;JP-REVA
2E,2,DE-REV0
2E,3,ES-REV0
2E,4,FR-REV0
2E,5,IT-REV0
2E,6,KR-REV0
2E,7,US-EU-REV0
2F,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
2F,2,JP-REV0;JP-REVA
30,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
31,1,JP-REV0;JP-REVA
31,2,DE-REV0
31,3,ES-REV0
31,4,FR-REV0
31,5,IT-REV0
31,6,KR-REV0
31,7,US-EU-REV0
32,1,JP-REV0;JP-REVA
32,2,DE-REV0
32,3,ES-REV0
32,4,FR-REV0
32,5,IT-REV0
32,6,KR-REV0
32,7,US-EU-REV0
33,1,JP-REV0;JP-REVA
33,2,DE-REV0
33,3,ES-REV0
33,4,FR-REV0
33,5,IT-REV0
33,6,KR-REV0
33,7,US-EU-REV0
34,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
34,2,JP-REV0;JP-REVA
35,1,KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
35,2,JP-REV0;JP-REVA
36,1,DE-REV0;FR-REV0
36,2,IT-REV0;ES-REV0
36,3,JP-REV0;JP-REVA
36,4,KR-REV0
36,5,US-EU-REV0
37,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
38,1,JP-REV0;JP-REVA
38,2,DE-REV0
38,3,ES-REV0
38,4,FR-REV0
38,5,IT-REV0
38,6,KR-REV0
38,7,US-EU-REV0
39,1,JP-REV0;JP-REVA
39,2,DE-REV0
39,3,ES-REV0
39,4,FR-REV0
39,5,IT-REV0
39,6,KR-REV0
39,7,US-EU-REV0
3A,1,JP-REV0;JP-REVA
3A,2,DE-REV0
3A,3,ES-REV0
3A,4,FR-REV0
3A,5,IT-REV0
3A,6,KR-REV0
3A,7,US-EU-REV0
3B,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
3C,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
3D,1,JP-REV0;JP-REVA;KR-REV0;US-EU-REV0;DE-REV0;FR-REV0;IT-REV0;ES-REV0
3E,1,DE-REV0
3E,2,ES-REV0
3E,3,FR-REV0
3E,4,IT-REV0
3E,5,JP-REV0
3E,6,JP-REVA
3E,7,KR-REV0
3E,8,US-EU-REV0
3F,1,DE-REV0
3F,2,ES-REV0
3F,3,FR-REV0
3F,4,IT-REV0
3F,5,JP-REV0
3F,6,JP-REVA
3F,7,KR-REV0
3F,8,US-EU-REV0
