species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
4,charmander,front,JP-REV0,0x1C,0x1C,0x6FC0,0x072FC0,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,JP-REVA,0x1C,0x1C,0x6FC0,0x072FC0,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,KR-REV0,0x1C,0x1C,0x6FC0,0x072FC0,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,US-EU-REV0,0x1C,0x1C,0x6D3E,0x072D3E,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,DE-REV0,0x1C,0x1C,0x6D3E,0x072D3E,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,FR-REV0,0x1C,0x1C,0x6D3E,0x072D3E,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,IT-REV0,0x1C,0x1C,0x6D3E,0x072D3E,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,front,ES-REV0,0x1C,0x1C,0x6D3E,0x072D3E,305,400,c5b58c9d60065dfd3c4e6c11584a256960117b621f278e68d81869363f142e0b,83f71844ec62aef68fae8febbf621879b31e1ccee2b4cd11c951fd13e287b636
4,charmander,back,JP-REV0,0x1C,0x1C,0x7A68,0x073A68,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,JP-REVA,0x1C,0x1C,0x7A68,0x073A68,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,KR-REV0,0x1C,0x1C,0x7A68,0x073A68,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,US-EU-REV0,0x1C,0x1C,0x76B5,0x0736B5,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,DE-REV0,0x1C,0x1C,0x76B5,0x0736B5,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,FR-REV0,0x1C,0x1C,0x76B5,0x0736B5,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,IT-REV0,0x1C,0x1C,0x76B5,0x0736B5,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
4,charmander,back,ES-REV0,0x1C,0x1C,0x76B5,0x0736B5,301,576,29513a81226ed190459229821dbed96d395b7e60e90fae704cce6cfcf6478617,3b81b9c5c66107f9b522a5cbeac83ba8fdf8791d2b641b1527fa5a459108865d
