species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
6,charizard,front,JP-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,JP-REVA,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,KR-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,US-EU-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,DE-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,FR-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,IT-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,front,ES-REV0,0x13,0x1F,0x5062,0x07D062,669f24b851b21723b2ac9e15ff29ce609e0f14734b553f5ee9d703e53514b599,569,784,a82acea367f7d06f16eb38e5e6e79e5f05d22668690bc7424dd792c0bafe34e5
6,charizard,back,JP-REV0,0x1A,0x1A,0x443A,0x06843A,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,JP-REVA,0x1A,0x1A,0x443A,0x06843A,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,KR-REV0,0x1A,0x1A,0x443A,0x06843A,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,US-EU-REV0,0x1A,0x1A,0x42D2,0x0682D2,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,DE-REV0,0x1A,0x1A,0x42D2,0x0682D2,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,FR-REV0,0x1A,0x1A,0x42D2,0x0682D2,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,IT-REV0,0x1A,0x1A,0x42D2,0x0682D2,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
6,charizard,back,ES-REV0,0x1A,0x1A,0x42D2,0x0682D2,873917ed3869a77b30a663e2708add796893c7192261205ab29c84877af6a51c,360,576,d52d7def820587d214a9a402be1d89ed7d8c71ed884c45923822bd7ef8a46263
