species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
11,metapod,front,JP-REV0,0x1E,0x1E,0x7E92,0x07BE92,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,JP-REVA,0x1E,0x1E,0x7E92,0x07BE92,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,KR-REV0,0x1E,0x1E,0x7E92,0x07BE92,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,US-EU-REV0,0x1E,0x1E,0x7BCC,0x07BBCC,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,DE-REV0,0x1E,0x1E,0x7BCC,0x07BBCC,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,FR-REV0,0x1E,0x1E,0x7BCC,0x07BBCC,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,IT-REV0,0x1E,0x1E,0x7BCC,0x07BBCC,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,front,ES-REV0,0x1E,0x1E,0x7BCC,0x07BBCC,199,400,58964367b0dbee934fa71f1ad7c2a5c426cb20fd656f076d10cd7539916a8705,04396a1e515f52446b88b9b58f541bef2f253a255e78987ab754c510a09763b0
11,metapod,back,JP-REV0,0x1E,0x1E,0x5C05,0x079C05,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,JP-REVA,0x1E,0x1E,0x5C05,0x079C05,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,KR-REV0,0x1E,0x1E,0x5C05,0x079C05,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,US-EU-REV0,0x1E,0x1E,0x5AFB,0x079AFB,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,DE-REV0,0x1E,0x1E,0x5AFB,0x079AFB,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,FR-REV0,0x1E,0x1E,0x5AFB,0x079AFB,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,IT-REV0,0x1E,0x1E,0x5AFB,0x079AFB,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
11,metapod,back,ES-REV0,0x1E,0x1E,0x5AFB,0x079AFB,245,576,9d8949adde15cdda107bf43110e6adda2d3b05605c04e4a9e77edd1b0e5bfe59,89aabd51ae9d1ed4a254b19c05ad9ada54b58fb13958d6d115910e4198d9f2b1
