species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
10,caterpie,front,JP-REV0,0x1F,0x2E,0x40B4,0x0B80B4,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,JP-REVA,0x1F,0x2E,0x40B4,0x0B80B4,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,KR-REV0,0x1F,0x2E,0x40B4,0x0B80B4,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,US-EU-REV0,0x1E,0x1E,0x7D47,0x07BD47,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,DE-REV0,0x1E,0x1E,0x7D47,0x07BD47,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,FR-REV0,0x1E,0x1E,0x7D47,0x07BD47,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,IT-REV0,0x1E,0x1E,0x7D47,0x07BD47,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,front,ES-REV0,0x1E,0x1E,0x7D47,0x07BD47,07b7304818845ed55cbbca669401af009443e809ed3e6e18a90c7f60291448be,177,400,9084c9be5a4dff2cbd35bf735deb1a40c99bb4b56f9c1c84cfddc3e8cf15f75d
10,caterpie,back,JP-REV0,0x1D,0x1D,0x668F,0x07668F,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,JP-REVA,0x1D,0x1D,0x668F,0x07668F,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,KR-REV0,0x1D,0x1D,0x668F,0x07668F,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,US-EU-REV0,0x1D,0x1D,0x60F6,0x0760F6,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,DE-REV0,0x1D,0x1D,0x60F6,0x0760F6,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,FR-REV0,0x1D,0x1D,0x60F6,0x0760F6,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,IT-REV0,0x1D,0x1D,0x60F6,0x0760F6,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
10,caterpie,back,ES-REV0,0x1D,0x1D,0x60F6,0x0760F6,5297ace63b75318030b69b05db782d56c4ac0f365bc2910f4ce1aa9b967b42ce,284,576,edcbac7f9e9ca40b18e20bbf232f8f62a5f6b2623ebf933585b634db645d1f57
