species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
8,wartortle,front,JP-REV0,0x16,0x16,0x74C8,0x05B4C8,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,JP-REVA,0x16,0x16,0x74C8,0x05B4C8,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,KR-REV0,0x16,0x16,0x74C8,0x05B4C8,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,US-EU-REV0,0x16,0x16,0x731F,0x05B31F,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,DE-REV0,0x16,0x16,0x731F,0x05B31F,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,FR-REV0,0x16,0x16,0x731F,0x05B31F,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,IT-REV0,0x16,0x16,0x731F,0x05B31F,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,front,ES-REV0,0x16,0x16,0x731F,0x05B31F,f3e5820a8ff4104e5b7d9984341bc2d1ea276e1ba22ccc501673e1aa18ee09ee,423,576,61a9eaaebd7de9ff262515b31f0515d48e3690fa344a93ba07f4e194ad79abc6
8,wartortle,back,JP-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,JP-REVA,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,KR-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,US-EU-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,DE-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,FR-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,IT-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
8,wartortle,back,ES-REV0,0x1A,0x1A,0x4E0C,0x068E0C,481aeae0f86225074a5abdf2383c493ee444a3d7aa8d33316958984f4889efbf,358,576,760c5ca1613869fa7aad7353d7a390265bd3ee627461a30b82a09e3c9e0cdd3e
