species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
12,butterfree,front,JP-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,JP-REVA,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,KR-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,US-EU-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,DE-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,FR-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,IT-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,front,ES-REV0,0x15,0x15,0x43BA,0x0543BA,477,784,ff369ad8b7c03004866d4aa9d8a3abba49bb7b946c2247f3f8a887025cfcf3e3,7fa5819564b48a249111eddf009d49638921d075cefa7fb81d8f3fd7e94d0516
12,butterfree,back,JP-REV0,0x15,0x15,0x5623,0x055623,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,JP-REVA,0x15,0x15,0x5623,0x055623,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,KR-REV0,0x15,0x15,0x5623,0x055623,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,US-EU-REV0,0x15,0x15,0x5B96,0x055B96,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,DE-REV0,0x15,0x15,0x5B96,0x055B96,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,FR-REV0,0x15,0x15,0x5B96,0x055B96,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,IT-REV0,0x15,0x15,0x5B96,0x055B96,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
12,butterfree,back,ES-REV0,0x15,0x15,0x5B96,0x055B96,463,576,76df576ec34a1e6c234f07db15a45337f22c01bd71d323e74f324a551ff1fcd3,9f39bb863616503b307eae6410a2eb563bbf77e8286ab55d1e8c4af45f2f5ed9
