species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
13,weedle,front,JP-REV0,0x1E,0x1E,0x6CDA,0x07ACDA,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,JP-REVA,0x1E,0x1E,0x6CDA,0x07ACDA,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,KR-REV0,0x1E,0x1E,0x6CDA,0x07ACDA,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,US-EU-REV0,0x1E,0x1E,0x6AD1,0x07AAD1,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,DE-REV0,0x1E,0x1E,0x6AD1,0x07AAD1,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,FR-REV0,0x1E,0x1E,0x6AD1,0x07AAD1,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,IT-REV0,0x1E,0x1E,0x6AD1,0x07AAD1,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,front,ES-REV0,0x1E,0x1E,0x6AD1,0x07AAD1,231,400,812bf3e6f674cfcd9f9d902c23bc80337d48e2bce9e3a99d1d62c991be94ece1,f0fb771dc9c0338c64e74d2efbd58f3983af8862b742f0362f2530b2e533e2ca
13,weedle,back,JP-REV0,0x1E,0x1E,0x4E5C,0x078E5C,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,JP-REVA,0x1E,0x1E,0x4E5C,0x078E5C,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,KR-REV0,0x1E,0x1E,0x4E5C,0x078E5C,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,US-EU-REV0,0x1E,0x1E,0x4D52,0x078D52,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,DE-REV0,0x1E,0x1E,0x4D52,0x078D52,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,FR-REV0,0x1E,0x1E,0x4D52,0x078D52,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,IT-REV0,0x1E,0x1E,0x4D52,0x078D52,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
13,weedle,back,ES-REV0,0x1E,0x1E,0x4D52,0x078D52,256,576,c828055f2d6c88d6cf937c9a5b5e6c470f2280084a498b93efc5f7d4aa24c94e,168220eaca31d7c6d3dc7eb4b268e96952447461096f7bd78cb9b8d8b15ff64c
