species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
15,beedrill,front,JP-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,JP-REVA,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,KR-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,US-EU-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,DE-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,FR-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,IT-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,front,ES-REV0,0x12,0x12,0x6BB5,0x04ABB5,612,784,6bd9b31ea64777fe6859d9ea41b44f8a1dadd35f949cf013798334fabad85ecd,7a0c9fde0942ab297c0a157e7f80f02ba431f416a39a187a634b1018d7cb3a8c
15,beedrill,back,JP-REV0,0x18,0x18,0x4C56,0x060C56,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,JP-REVA,0x18,0x18,0x4C56,0x060C56,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,KR-REV0,0x18,0x18,0x4C56,0x060C56,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,US-EU-REV0,0x18,0x18,0x4C54,0x060C54,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,DE-REV0,0x18,0x18,0x4C54,0x060C54,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,FR-REV0,0x18,0x18,0x4C54,0x060C54,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,IT-REV0,0x18,0x18,0x4C54,0x060C54,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
15,beedrill,back,ES-REV0,0x18,0x18,0x4C54,0x060C54,394,576,608d7a5f282fa2692df44087a8b29cbc79e5c130c5ff349272c162d1b4e31309,4121694080e1939041e1b93c8db63b610863d8816de4b37ae33886ab79104971
