species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
20,raticate,front,JP-REV0,0x16,0x16,0x6FCF,0x05AFCF,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,JP-REVA,0x16,0x16,0x6FCF,0x05AFCF,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,KR-REV0,0x16,0x16,0x6FCF,0x05AFCF,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,US-EU-REV0,0x16,0x16,0x6FCD,0x05AFCD,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,DE-REV0,0x16,0x16,0x6FCD,0x05AFCD,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,FR-REV0,0x16,0x16,0x6FCD,0x05AFCD,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,IT-REV0,0x16,0x16,0x6FCD,0x05AFCD,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,front,ES-REV0,0x16,0x16,0x6FCD,0x05AFCD,2473e358571462440ffd7015cc30e788502fa1f62c3c1132751dcc0a6d49e4ee,425,576,8ae4803961538b63b3bb5dd1c5a5a75b0741b5421f4f42e3065c2c2b65015f3c
20,raticate,back,JP-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,JP-REVA,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,KR-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,US-EU-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,DE-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,FR-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,IT-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
20,raticate,back,ES-REV0,0x1A,0x1A,0x50D7,0x0690D7,71e3c8e4c000d87ded097ed0bd20956405e8ad130541a4299395189063ff7ad7,357,576,64a1a97bb2ba98eb0dba71c7b81ecca97e6e315f4238837f28ec3c24af0fef82
