species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
3,venusaur,front,JP-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,JP-REVA,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,KR-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,US-EU-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,DE-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,FR-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,IT-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,front,ES-REV0,0x12,0x12,0x66E0,0x04A6E0,619,784,2ad490e86ce56321d33d7731c8925026c1f3ca0f154362b548a21f1832e42973,f430c3f04beb62fd9c0cab59acd03b0fb8de8b02e1998c55a61bcd0d22db0acd
3,venusaur,back,JP-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,JP-REVA,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,KR-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,US-EU-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,DE-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,FR-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,IT-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
3,venusaur,back,ES-REV0,0x17,0x17,0x4831,0x05C831,418,576,fb2767cca4a4198fa42b3296f4083a6f20de2cb9702832f9f9d849dad3c80675,b18d8735a3a7babc7798767ade9e5f5f4406a529ec7920e5ce33e9d8763e39fc
