species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
19,rattata,front,JP-REV0,0x1D,0x1D,0x412B,0x07412B,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,JP-REVA,0x1D,0x1D,0x412B,0x07412B,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,KR-REV0,0x1D,0x1D,0x412B,0x07412B,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,US-EU-REV0,0x1C,0x1C,0x7DBB,0x073DBB,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,DE-REV0,0x1C,0x1C,0x7DBB,0x073DBB,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,FR-REV0,0x1C,0x1C,0x7DBB,0x073DBB,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,IT-REV0,0x1C,0x1C,0x7DBB,0x073DBB,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,front,ES-REV0,0x1C,0x1C,0x7DBB,0x073DBB,4ae5c890daaa8b3e8d09110d71af5ddbde94a614c06113c65c2cce39257eff92,298,400,7f5aa00081565f028cef6a391db1c91b4b6edcab57104eb5255f11d93c1bc7d8
19,rattata,back,JP-REV0,0x1B,0x1B,0x65FA,0x06E5FA,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,JP-REVA,0x1B,0x1B,0x65FA,0x06E5FA,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,KR-REV0,0x1B,0x1B,0x65FA,0x06E5FA,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,US-EU-REV0,0x1B,0x1B,0x64A3,0x06E4A3,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,DE-REV0,0x1B,0x1B,0x64A3,0x06E4A3,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,FR-REV0,0x1B,0x1B,0x64A3,0x06E4A3,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,IT-REV0,0x1B,0x1B,0x64A3,0x06E4A3,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
19,rattata,back,ES-REV0,0x1B,0x1B,0x64A3,0x06E4A3,6f87f55bcd7d71d072b7a3da6847f34fabc333d7096dcf3b30f9ea5905b6a7e8,329,576,acebcb9876735d22d88649b2f1c2d9628747f8fcb1d44ddeab89eb0c1cebe084
