species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
14,kakuna,front,JP-REV0,0x1E,0x1E,0x73EC,0x07B3EC,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,JP-REVA,0x1E,0x1E,0x73EC,0x07B3EC,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,KR-REV0,0x1E,0x1E,0x73EC,0x07B3EC,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,US-EU-REV0,0x1E,0x1E,0x72CA,0x07B2CA,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,DE-REV0,0x1E,0x1E,0x72CA,0x07B2CA,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,FR-REV0,0x1E,0x1E,0x72CA,0x07B2CA,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,IT-REV0,0x1E,0x1E,0x72CA,0x07B2CA,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,front,ES-REV0,0x1E,0x1E,0x72CA,0x07B2CA,218,400,f57ed13f8a11e64b45fd7da08a8337e27b60fbf49d9d8aae44e0ab683c2c3454,9d84456d360b4482b417bd1fe89c3adfa4ee4c1e16c0dc516ffa4a3e7976e321
14,kakuna,back,JP-REV0,0x1D,0x1D,0x76EA,0x0776EA,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,JP-REVA,0x1D,0x1D,0x76EA,0x0776EA,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,KR-REV0,0x1D,0x1D,0x76EA,0x0776EA,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,US-EU-REV0,0x1D,0x1D,0x75B7,0x0775B7,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,DE-REV0,0x1D,0x1D,0x75B7,0x0775B7,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,FR-REV0,0x1D,0x1D,0x75B7,0x0775B7,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,IT-REV0,0x1D,0x1D,0x75B7,0x0775B7,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
14,kakuna,back,ES-REV0,0x1D,0x1D,0x75B7,0x0775B7,275,576,90820cc8523ac7100a2943961282b04206f00cde77dc19f81dbdb73a1ed75a5f,449943ca4e384bd870797e5462ce5041d60c0b1222a56b67784ff81410b167c4
