species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
17,pidgeotto,front,JP-REV0,0x16,0x16,0x6AD2,0x05AAD2,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,JP-REVA,0x16,0x16,0x6AD2,0x05AAD2,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,KR-REV0,0x16,0x16,0x6AD2,0x05AAD2,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,US-EU-REV0,0x16,0x16,0x6C7A,0x05AC7A,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,DE-REV0,0x16,0x16,0x6C7A,0x05AC7A,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,FR-REV0,0x16,0x16,0x6C7A,0x05AC7A,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,IT-REV0,0x16,0x16,0x6C7A,0x05AC7A,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,front,ES-REV0,0x16,0x16,0x6C7A,0x05AC7A,5ce83a0881a29f733186e6d244b820e447e98c33ad34b8d24717ceb4bafa2661,426,576,1dbf8a8dc901c8afabe8f8da10f6521a14fecfe3bc437d000714cbe5e93a589a
17,pidgeotto,back,JP-REV0,0x1D,0x1D,0x5FE6,0x075FE6,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,JP-REVA,0x1D,0x1D,0x5FE6,0x075FE6,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,KR-REV0,0x1D,0x1D,0x5FE6,0x075FE6,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,US-EU-REV0,0x1D,0x1D,0x5DA0,0x075DA0,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,DE-REV0,0x1D,0x1D,0x5DA0,0x075DA0,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,FR-REV0,0x1D,0x1D,0x5DA0,0x075DA0,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,IT-REV0,0x1D,0x1D,0x5DA0,0x075DA0,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
17,pidgeotto,back,ES-REV0,0x1D,0x1D,0x5DA0,0x075DA0,354f18e5aba1792bf09657a965f08c312463fc9fb5ae90e7ec27e9e1367c25e6,285,576,250d82f6562883c65867b3b32ddf50e1f892c6393e84931a5f3b6316f18ff51f
