species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
7,squirtle,front,JP-REV0,0x1E,0x1E,0x6B08,0x07AB08,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,JP-REVA,0x1E,0x1E,0x6B08,0x07AB08,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,KR-REV0,0x1E,0x1E,0x6B08,0x07AB08,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,US-EU-REV0,0x1E,0x1E,0x6900,0x07A900,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,DE-REV0,0x1E,0x1E,0x6900,0x07A900,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,FR-REV0,0x1E,0x1E,0x6900,0x07A900,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,IT-REV0,0x1E,0x1E,0x6900,0x07A900,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,front,ES-REV0,0x1E,0x1E,0x6900,0x07A900,52aa122f5cbb543be36dcfb76dc0444b0e0666ee62002a05c285b41c23ad049c,233,400,a738c358173f6d6e6194110ce4824b8b8951d35b1652c12a2888d608e3819825
7,squirtle,back,JP-REV0,0x1E,0x1E,0x6490,0x07A490,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,JP-REVA,0x1E,0x1E,0x6490,0x07A490,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,KR-REV0,0x1E,0x1E,0x6490,0x07A490,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,US-EU-REV0,0x1E,0x1E,0x619F,0x07A19F,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,DE-REV0,0x1E,0x1E,0x619F,0x07A19F,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,FR-REV0,0x1E,0x1E,0x619F,0x07A19F,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,IT-REV0,0x1E,0x1E,0x619F,0x07A19F,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
7,squirtle,back,ES-REV0,0x1E,0x1E,0x619F,0x07A19F,c3185384607c320342c677fa5f72b5acbd4696093e06cbb1894e549923e14076,239,576,8f6e107be4b2d25294f5164d9658d8b04025f69b301c041d9debd709fe441ac2
