species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_size,decompressed_size,compressed_sha256,decompressed_2bpp_sha256
1,bulbasaur,front,JP-REV0,0x1E,0x1E,0x473B,0x07873B,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,JP-REVA,0x1E,0x1E,0x473B,0x07873B,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,KR-REV0,0x1E,0x1E,0x473B,0x07873B,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,US-EU-REV0,0x1E,0x1E,0x4736,0x078736,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,DE-REV0,0x1E,0x1E,0x4736,0x078736,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,FR-REV0,0x1E,0x1E,0x4736,0x078736,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,IT-REV0,0x1E,0x1E,0x4736,0x078736,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,front,ES-REV0,0x1E,0x1E,0x4736,0x078736,262,400,ba3e94b294c7918a90aa107f5797371b1d5a3655905b7ebc7f720ef9d13420b0,5ef3eb4d36615b0512085d1e392e0fbe478562065f2e022a5ebc8e33bdfb5609
1,bulbasaur,back,JP-REV0,0x1D,0x1D,0x526B,0x07526B,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,JP-REVA,0x1D,0x1D,0x526B,0x07526B,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,KR-REV0,0x1D,0x1D,0x526B,0x07526B,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,US-EU-REV0,0x1D,0x1D,0x5261,0x075261,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,DE-REV0,0x1D,0x1D,0x5261,0x075261,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,FR-REV0,0x1D,0x1D,0x5261,0x075261,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,IT-REV0,0x1D,0x1D,0x5261,0x075261,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
1,bulbasaur,back,ES-REV0,0x1D,0x1D,0x5261,0x075261,290,576,ded55acc60bfa671cd8223d3c5b80d44abf306268ca879b0293efdd7f8e727c7,7c36ff4dc980d7319c28c176f05660f2423fad7accc8192045399bc920033d4c
