species,slug,side,release,defined_bank,actual_bank,address,file_offset,compressed_sha256,compressed_size,decompressed_size,decompressed_2bpp_sha256
16,pidgey,front,JP-REV0,0x1E,0x1E,0x6EA7,0x07AEA7,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,JP-REVA,0x1E,0x1E,0x6EA7,0x07AEA7,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,KR-REV0,0x1E,0x1E,0x6EA7,0x07AEA7,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,US-EU-REV0,0x1E,0x1E,0x6C9F,0x07AC9F,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,DE-REV0,0x1E,0x1E,0x6C9F,0x07AC9F,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,FR-REV0,0x1E,0x1E,0x6C9F,0x07AC9F,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,IT-REV0,0x1E,0x1E,0x6C9F,0x07AC9F,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,front,ES-REV0,0x1E,0x1E,0x6C9F,0x07AC9F,f00046df556b1ba1d6a8d24470306a142ff9e57faaa989569751047516dfd394,230,400,da012e938817a2b5c7e77f0a28aae09d6309132b2dea849d0e54fed3890b6cd3
16,pidgey,back,JP-REV0,0x18,0x18,0x5EC1,0x061EC1,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,JP-REVA,0x18,0x18,0x5EC1,0x061EC1,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,KR-REV0,0x18,0x18,0x5EC1,0x061EC1,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,US-EU-REV0,0x18,0x18,0x5A24,0x061A24,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,DE-REV0,0x18,0x18,0x5A24,0x061A24,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,FR-REV0,0x18,0x18,0x5A24,0x061A24,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,IT-REV0,0x18,0x18,0x5A24,0x061A24,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
16,pidgey,back,ES-REV0,0x18,0x18,0x5A24,0x061A24,a71077070dd18d319bef913ccd757d490f0d7a8d5fdea76cae32732121341c50,391,576,53babdd6b6516d2a5edb2f44a0a35e5d931add9e8846ff551d1d4ecff74b246a
